frase,situacao
"sinto uma leve dor no pescoço ao fazer exercício de cable face pull",baixo risco
"tive uma crise de esclerodermia renal com hipertensão maligna e insuficiência renal",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de side step",baixo risco
"estou com dor de cabeça intensa e oftalmoplegia com midríase fixa",alto risco
"sinto uma leve dor no quadril ao fazer exercício de cable kickback",baixo risco
"meu coração está com bloqueio atrioventricular total e bradicardia severa",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de rope pushdown",baixo risco
"estou com sangramento intenso por coagulopatia com petéquias e equimoses",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de single leg calf raise",baixo risco
"tive uma exposição a cianeto com cefaleia e confusão progressiva",alto risco
"tenho uma leve dor no joelho ao fazer exercício de tempo squat",baixo risco
"estou com febre alta e dor intensa na região parotídea com trismo severo",alto risco
"sinto uma leve dor no ombro ao fazer exercício de cable crossover alto",baixo risco
"minha pressão está em crise hipertensiva com encefalopatia e convulsões",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de prone Y raise",baixo risco
"estou com dor forte no peito e sinais de ruptura de parede ventricular",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de agility ladder",baixo risco
"tive uma queda e estou com dor forte no quadril com rotação externa da perna",alto risco
"tenho uma leve dor no quadril ao fazer exercício de seated abduction",baixo risco
"estou com dor abdominal intensa e sinais de torção de ovário com vômitos",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de reverse grip curl",baixo risco
"minha visão está com perda de campo visual homônima e cefaleia",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de seated calf raise",baixo risco
"estou com febre alta e dor intensa na região retroperitoneal com choque",alto risco
"sinto uma leve dor no joelho ao fazer exercício de sissy hack squat",baixo risco
"tive uma reação adversa grave a quimioterapia com neutropenia febril",alto risco
"tenho uma leve dor no ombro ao fazer exercício de cable front raise",baixo risco
"estou com dor de cabeça intensa e sinais de abscesso cerebral com febre",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de cable shrug",baixo risco
"meu abdômen está com sinais de ruptura de aneurisma aórtico abdominal",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de resistance band walk",baixo risco
"estou com dor no peito e sinais de miocardite aguda com arritmia",alto risco
"sinto uma leve dor no quadril ao fazer exercício de standing hip flexion",baixo risco
"tive uma crise de lupus com nefrite e derrame pleural",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de EZ bar curl",baixo risco
"estou com sangramento intenso por placenta prévia com contrações",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de donkey calf raise",baixo risco
"minha frequência cardíaca está em taquicardia supraventricular sustentada com hipotensão",alto risco
"tenho uma leve dor no joelho ao fazer exercício de belt squat",baixo risco
"estou com febre alta e dor intensa na região axilar com linfadenopatia dolorosa",alto risco
"sinto uma leve dor no ombro ao fazer exercício de machine press",baixo risco
"estou com dor forte no peito após uso de cocaína com sudorese intensa",alto risco
"sinto uma leve dor no pescoço ao acordar de manhã por travesseiro ruim",baixo risco
"minha pele está com fasciíte necrosante com crepitação e febre séptica",alto risco
"tenho uma leve dor no tornozelo ao caminhar de sandália",baixo risco
"estou com dor abdominal intensa e sinais de volvo intestinal com distensão",alto risco
"sinto uma leve dor no quadril ao sentar em banco duro",baixo risco
"tive uma queda e estou com dor forte no esterno e dificuldade para respirar",alto risco
"tenho uma leve dor no cotovelo ao segurar sacola por muito tempo",baixo risco
"estou com febre alta e dor intensa na região suprapúbica com retenção urinária",alto risco
"sinto uma leve dor no calcanhar ao usar sapato de bico fino",baixo risco
"minha visão está com papiledema bilateral e cefaleia matinal progressiva",alto risco
"tenho uma leve dor no joelho ao se ajoelhar no chão",baixo risco
"estou com dor no peito e sinais de pericardite constritiva com dispneia",alto risco
"sinto uma leve dor no ombro ao fazer exercício de machine fly",baixo risco
"tive uma intoxicação por paracetamol com dor abdominal e icterícia",alto risco
"tenho uma leve dor no pescoço ao olhar o celular por muito tempo",baixo risco
"estou com sangramento intenso por descolamento prematuro de placenta",alto risco
"sinto uma leve dor no tornozelo ao usar meia apertada",baixo risco
"meu coração está com torsades de pointes e síncope recorrente",alto risco
"tenho uma leve dor no quadril ao cruzar a perna sentado",baixo risco
"estou com dor de cabeça intensa e sinais de arterite temporal com claudicação mandibular",alto risco
"sinto uma leve dor no cotovelo ao escrever por muito tempo",baixo risco
"tive uma crise de feocromocitoma com cefaleia palpitações e sudorese",alto risco
"tenho uma leve dor no calcanhar ao ficar na ponta dos pés",baixo risco
"estou com dor forte no peito e sinais de endocardite com febre e sopro novo",alto risco
"sinto uma leve dor no joelho ao fazer exercício de smith machine squat",baixo risco
"minha pressão está em emergência hipertensiva com edema agudo de pulmão",alto risco
"tenho uma leve dor no ombro ao fazer exercício de cable lateral raise unilateral",baixo risco
"estou com febre alta e dor intensa na região escrotal com elevação do testículo",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de upright row com barra",baixo risco
"tive uma queda e estou com dor forte na tíbia com deformidade angular",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de calf stretch",baixo risco
"estou com dor abdominal intensa e sinais de colecistite aguda com Murphy positivo",alto risco
"sinto uma leve dor no quadril ao fazer exercício de seated hip rotation",baixo risco
"minha respiração está com sinais de pneumotórax hipertensivo com desvio de traqueia",alto risco
"tenho uma leve dor no cotovelo ao fazer exercício de concentration curl sentado",baixo risco
"estou com sangramento intenso por ruptura uterina durante trabalho de parto",alto risco
"sinto uma leve dor no calcanhar ao fazer exercício de toe walk",baixo risco
"tive uma exposição a fumaça de incêndio com rouquidão e estridor",alto risco
"tenho uma leve dor no joelho ao fazer exercício de leg extension unilateral",baixo risco
"estou com dor no peito e sinais de síndrome aórtica aguda com assimetria de pulsos",alto risco
"sinto uma leve dor no ombro ao fazer exercício de dumbbell lateral raise",baixo risco
"minha pele está com púrpura trombocitopênica trombótica com febre e confusão",alto risco
"tenho uma leve dor no pescoço ao fazer exercício de face pull com elástico",baixo risco
"estou com dor de cabeça intensa e sinais de hidrocefalia aguda com vômitos",alto risco
"sinto uma leve dor no tornozelo ao fazer exercício de heel walk",baixo risco
"tive uma crise de esclerose múltipla com neurite óptica e perda visual",alto risco
"tenho uma leve dor no quadril ao fazer exercício de standing hip extension",baixo risco
"estou com febre alta e dor intensa na região periorbital com celulite orbital",alto risco
"sinto uma leve dor no cotovelo ao fazer exercício de hammer curl com corda",baixo risco
"meu abdômen está com sinais de apendicite perfurada com peritonite generalizada",alto risco
"tenho uma leve dor no calcanhar ao fazer exercício de heel raise em degrau",baixo risco
"estou com dor forte no peito e sinais de ruptura de cordas tendíneas com regurgitação",alto risco
"sinto uma leve dor no joelho ao fazer exercício de leg curl deitado",baixo risco
"tive uma reação adversa a contraste iodado com broncoespasmo e hipotensão",alto risco
"tenho uma leve dor no ombro ao fazer exercício de seated dumbbell press",baixo risco
"estou com sangramento intenso por coagulação intravascular disseminada",alto risco
"sinto uma leve dor no pescoço ao fazer exercício de prone cobra",baixo risco
"minha frequência cardíaca está em assistolia e não respondo a estímulos",alto risco
"tenho uma leve dor no tornozelo ao fazer exercício de balance board",baixo risco
"estou com dor abdominal intensa e sinais de trombose mesentérica com sangue nas fezes",alto risco
"sinto uma leve dor no quadril ao fazer exercício de hip circle",baixo risco
